Fight_Id,Fighter_Id_1,Fighter_Id_2,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id,Result_1,Result_2,Time Format,Referee,Method Details,Sig. Str. %_1,Sig. Str. %_2,Sub. Att_1,Sub. Att_2,Rev._1,Rev._2,Ctrl_1,Ctrl_2,Head_%_1,Head_%_2,Body_%_1,Body_%_2,Leg_%_1,Leg_%_2,Distance_%_1,Distance_%_2,Clinch_%_1,Clinch_%_2,Ground_%_1,Ground_%_2,Total Str._%_1,Total Str._%_2,Sig. Str._%_1,Sig. Str._%_2
2b417eb1ffa56ac1,70e1f8a821b72c8b,0d65c432720accb9,Jimmy Crute,Michal Oleksiejczuk,0,0,2,3,8,0,1,0,Light Heavyweight,SUB Kimura,1,3:29,33b2f68ef95252e0,W,L,3 Rnd (5-5-5),John Sharp,Kimura From Side Control,0.25,0.5,1,0,0,0,181,0,0.29,0.5,0.0,0,0,0,0.33,0.5,0.0,0,0,0,0.57,0.7,0.25,0.5
060987bb3025a0a8,c41d426cc7326d1b,d7c3816669784109,Karolina Kowalkiewicz,Yan Xiaonan,0,0,38,93,0,5,1,0,Women's Strawweight,U-DEC,3,5:00,33b2f68ef95252e0,L,W,3 Rnd (5-5-5),Mark Craig,Luke Hill26 - 30.Howard Hughes26 - 30.David Lethaby26 - 30.,0.44,0.52,1,0,0,0,105,306,0.35,0.43,0.5,0.87,0.75,0.82,0.44,0.48,0.5,0.7,0,0.76,0.5,0.62,0.45,0.52
9bc18b63b07bb328,ab943cd2c3c17825,326f94d6cfb1bf25,Ben Sosoli,Marcos Rogerio de Lima,0,1,5,19,0,0,0,0,Heavyweight,KO/TKO Punch,1,1:28,33b2f68ef95252e0,L,W,3 Rnd (5-5-5),Neil Swailes,Punch to Head At Distance,0.29,0.55,0,0,0,0,0,2,0.25,0.5,1.0,1.0,0,1.0,0.29,0.55,0,0,0,1.0,0.29,0.56,0.29,0.56
6d48f75153e4ad6b,37ed1ab2f8b819f4,31d7446b184e3305,Brad Riddell,Magomed Mustafaev,1,0,38,28,1,8,0,0,Lightweight,S-DEC,3,5:00,33b2f68ef95252e0,W,L,3 Rnd (5-5-5),John Sharp,Howie Booth28 - 29.Barry Foley29 - 28.Luke Hill28 - 29.,0.52,0.6,0,0,0,0,122,420,0.43,0.43,0.71,0.64,0.83,0.92,0.44,0.44,1.0,0.8,0.62,0.89,0.62,0.64,0.53,0.61
f882cf76a8bce308,aceffa19749c4dc0,cf946e03ba2e7666,Kevin Aguilar,Zubaira Tukhugov,0,2,9,28,0,0,0,0,Featherweight,KO/TKO Punches,1,3:21,33b2f68ef95252e0,L,W,3 Rnd (5-5-5),Marc Goddard,Punches to Head On Ground,0.32,0.77,0,0,0,0,0,9,0.18,0.76,0.75,1.0,1.0,0,0.32,0.68,0,0,0,0.93,0.32,0.76,0.32,0.78
02bdb7a5b2986571,4d8fa64202cee4c1,6751eacd16bd59bc,Jalin Turner,Josh Culibao,0,0,55,12,0,0,3,0,Lightweight,KO/TKO Punches,2,3:01,33b2f68ef95252e0,W,L,3 Rnd (5-5-5),Mark Craig,Punches to Head From Back Control,0.6,0.42,3,0,0,0,261,9,0.58,0.33,0.68,0.67,0.0,1.0,0.38,0.39,0.6,0.6,0.82,0,0.7,0.4,0.6,0.43
3bd20b66b585d621,a845f0735bc67405,103b06d8707895a9,Jake Matthews,Emil Meek,1,0,33,50,4,0,0,0,Welterweight,U-DEC,3,5:00,33b2f68ef95252e0,W,L,3 Rnd (5-5-5),John Sharp,Howie Booth28 - 29.Barry Foley28 - 29.Mark Rodgers28 - 29.,0.45,0.42,0,0,0,0,508,4,0.46,0.37,0.33,0.83,0,0.45,0.42,0.24,0.8,0.72,0.5,0.91,0.63,0.52,0.45,0.42
03c2707563915d7d,32490e80ddab1e5a,8fc9ae9c7527dfcb,Callan Potter,Song Kenan,0,1,7,17,1,0,0,0,Welterweight,KO/TKO Punch,1,2:20,33b2f68ef95252e0,L,W,3 Rnd (5-5-5),Neil Swailes,Punch to Head At Distance,0.46,0.48,0,0,0,0,3,7,0.43,0.41,1.0,0.83,0,0,0.42,0.48,0.67,0.4,0,1.0,0.47,0.53,0.47,0.49
ecc23234e820458d,853eb0dd5c0e2149,6e00cfffd54653c4,Kai Kara-France,Tyson Nam,0,0,78,50,0,0,0,0,Flyweight,U-DEC,3,5:00,33b2f68ef95252e0,W,L,3 Rnd (5-5-5),Marc Goddard,Barry Foley27 - 30.Richie Gerrard27 - 30.Lereapii Taia27 - 30.,0.3,0.32,0,0,0,0,17,51,0.23,0.26,0.53,0.65,0.82,1.0,0.29,0.33,0.56,0.29,0.5,0,0.3,0.34,0.3,0.33
af5b940f2c686524,f0feeb2192937424,4e30e4250cb08b61,Loma Lookboonmee,Angela Hill,0,0,53,48,1,1,0,1,Women's Strawweight,U-DEC,3,5:00,33b2f68ef95252e0,L,W,3 Rnd (5-5-5),John Sharp,Howie Booth28 - 29.Mark Rodgers28 - 29.David Lethaby27 - 30.,0.4,0.38,0,1,0,0,96,192,0.29,0.38,0.52,0.36,0.78,0.67,0.37,0.34,0.71,0.45,0.0,0.6,0.44,0.43,0.41,0.38
102fb91414fd24ab,b1e5bcaad32a3cac,122ac9b816d8b71c,Priscila Cachoeira,Shana Dobson,1,0,8,5,0,0,0,0,Women's Flyweight,KO/TKO Punch,1,0:40,33b2f68ef95252e0,W,L,3 Rnd (5-5-5),Neil Swailes,Punch to Head At Distance,0.44,0.45,0,0,0,0,2,0,0.44,0.44,0,0.5,0,0,0.47,0.45,0,0,0.0,0,0.44,0.45,0.44,0.45
801b3f24c670f19a,99df7d0a2a08a8a8,5e4eec08896c9423,Corey Anderson,Jan Blachowicz,0,1,11,13,0,0,0,0,Light Heavyweight,KO/TKO Punch,1,3:08,5df17b3620145578,L,W,5 Rnd (5-5-5-5-5),Herb Dean,Punch to Head At Distance,0.4,0.41,0,0,0,0,3,2,0.21,0.41,0.75,0.33,1.0,1.0,0.41,0.41,0,0.0,0,1.0,0.41,0.42,0.41,0.42
a02ffaf1fe462d28,82e7929bf6c2b689,595db60957de51d3,Diego Sanchez,Michel Pereira,0,1,25,53,0,2,0,0,Welterweight,DQ,3,3:09,5df17b3620145578,W,L,3 Rnd (5-5-5),Jason Herzog,Illegal Knee on Ground,0.39,0.58,0,0,0,0,10,50,0.18,0.38,0.59,0.85,0.69,0.83,0.38,0.52,0.5,0.91,1.0,0.8,0.43,0.6,0.39,0.58
96919cf8d3e988ff,80d8aed0ca9b00f3,82cbb809d5ee565c,Montana De La Rosa,Mara Romero Borella,1,0,27,23,1,1,1,0,Women's Flyweight,U-DEC,3,5:00,5df17b3620145578,W,L,3 Rnd (5-5-5),Joe Coca,Derek Cleary27 - 30.Sal D'amato27 - 30.Ester Lopez27 - 30.,0.4,0.43,1,0,0,0,510,108,0.29,0.34,0.8,0.75,0.67,1.0,0.27,0.34,0.67,0.83,0.9,1.0,0.58,0.65,0.4,0.43
9d98e1c0d62213cf,7c9f96f9a6a5cd50,ec18eb918121787c,Brok Weaver,Kazula Vargas,0,0,5,15,0,1,1,0,Lightweight,DQ,1,4:02,5df17b3620145578,W,L,3 Rnd (5-5-5),Robert Romero,Illegal Knee on Ground,0.55,0.51,1,0,0,0,0,187,0.5,0.43,0,0.5,0.67,0.8,0.57,0.43,0.0,0.6,1.0,1.0,0.6,0.78,0.56,0.52
b41e3be867afd6fa,a4de54ea806fb525,07a2bdaa0afdd831,Rogerio Bontorin,Ray Borg,0,0,9,35,0,10,0,0,Flyweight,U-DEC,3,5:00,5df17b3620145578,L,W,3 Rnd (5-5-5),Herb Dean,Kenny Ortiz27 - 30.Glenn Trowbridge27 - 30.Derek Cleary25 - 30.,0.45,0.77,0,0,0,0,104,682,0.21,0.8,1.0,0.0,1.0,0,0.23,0.29,0.83,0.75,1.0,0.95,0.69,0.81,0.45,0.78
eab100e978c730c5,f9b200db02b488d9,813550bc53b15fb0,Lando Vannata,Yancy Medeiros,0,0,99,68,0,0,0,0,Lightweight,U-DEC,3,5:00,5df17b3620145578,W,L,3 Rnd (5-5-5),Jason Herzog,Tony Weeks27 - 30.Ester Lopez27 - 30.Derek Cleary27 - 30.,0.52,0.35,0,0,0,0,4,0,0.34,0.26,0.76,0.82,0.79,0.92,0.53,0.35,0.33,1.0,0,0,0.53,0.35,0.53,0.35
2dc48a745d6c662b,8a1f3b5c526cd6e6,4b47e71384a9522f,Tim Means,Daniel Rodriguez,0,1,41,49,1,0,0,1,Welterweight,SUB Guillotine Choke,2,3:37,5df17b3620145578,L,W,3 Rnd (5-5-5),Herb Dean,Guillotine Choke Standing,0.43,0.4,0,1,0,0,11,5,0.31,0.35,0.5,0.71,1.0,1.0,0.45,0.41,0.0,0.0,0,0,0.43,0.4,0.43,0.4
08426f06239d903c,99506df1af6c8b3b,329e403448756217,John Dodson,Nathaniel Wood,1,0,39,46,0,1,0,0,Bantamweight,KO/TKO Punch,3,0:16,5df17b3620145578,W,L,3 Rnd (5-5-5),Joe Coca,Punch to Head At Distance,0.54,0.46,0,0,0,0,118,47,0.48,0.38,1.0,0.4,1.0,0.76,0.5,0.43,0.8,0.83,0.8,1.0,0.63,0.55,0.54,0.46
f3e2038bfb9b5d9d,df1eb4354d18a906,d1941565abf50b16,Jim Miller,Scott Holtzman,0,0,58,88,0,1,0,0,Lightweight,U-DEC,3,5:00,5df17b3620145578,L,W,3 Rnd (5-5-5),Robert Romero,Sal D'amato27 - 30.Ester Lopez28 - 29.Tony Weeks28 - 29.,0.47,0.44,0,0,0,0,27,297,0.35,0.43,0.87,0.62,0.92,0.67,0.42,0.41,0.79,0.62,1.0,0.67,0.5,0.52,0.48,0.45
94c0819fde11364d,cc7040fe76f0ef91,3f7dab21b6c971bc,Devin Clark,Dequan Townsend,0,0,39,6,3,0,0,0,Light Heavyweight,U-DEC,3,5:00,5df17b3620145578,W,L,3 Rnd (5-5-5),Jason Herzog,Kenny Ortiz27 - 30.Mark Sanchez26 - 30.Glenn Trowbridge26 - 30.,0.72,0.16,0,0,0,0,606,0,0.59,0.12,0.93,0.67,0.88,0,0.45,0.06,0.75,1.0,0.9,0,0.81,0.54,0.72,0.17
51218519be104794,c03520b5c88ed6b4,e7bba7ce4d6c7b07,Casey Kenney,Merab Dvalishvili,0,0,45,63,0,12,0,0,Bantamweight,U-DEC,3,5:00,5df17b3620145578,L,W,3 Rnd (5-5-5),Joe Coca,Sal D'amato27 - 30.Ester Lopez25 - 30.Derek Cleary28 - 29.,0.38,0.34,0,0,0,0,5,342,0.25,0.22,0.59,0.61,0.93,0.9,0.38,0.28,0.5,0.88,0,0.76,0.39,0.47,0.38,0.35
d629aa5eb31a1e38,9cdd2da1a9104a0b,568bbad0eaced57c,Macy Chiasson,Shanna Young,0,0,86,40,3,0,0,0,Women's Bantamweight,U-DEC,3,5:00,5df17b3620145578,W,L,3 Rnd (5-5-5),Herb Dean,Mark Sanchez26 - 30.Glenn Trowbridge26 - 30.Tony Weeks26 - 30.,0.51,0.56,0,0,0,0,513,22,0.4,0.56,0.83,0.58,0,0.5,0.33,0.44,0.74,0.94,0.45,0,0.61,0.6,0.52,0.56
8725dc88f2e0a6f3,82b4e942781b1046,f57dd0bfa8c17813,Mark De La Rosa,Raulian Paiva,0,1,45,54,0,0,0,0,Flyweight,KO/TKO Punch,2,4:42,5df17b3620145578,L,W,3 Rnd (5-5-5),Robert Romero,Punch to Head At Distance,0.36,0.42,0,0,0,0,0,107,0.23,0.34,0.62,0.77,1.0,0.73,0.36,0.39,0.5,0.89,0,1.0,0.36,0.48,0.36,0.43
